iter	Passed	Remaining
159	8767	32054
160	8847	32091
161	8944	32188
162	9036	32265
163	9141	32385
164	9230	32446
165	9304	32454
166	9319	32255
167	9407	32311
168	9493	32357
169	9581	32407
170	9669	32456
171	9729	32411
172	9810	32435
173	9908	32516
174	10000	32573
175	10085	32604
176	10165	32620
177	10179	32426
178	10243	32388
179	10302	32339
180	10359	32280
181	10416	32223
182	10473	32164
183	10526	32093
184	10537	31898
185	10603	31867
186	10676	31856
187	10685	31657
188	10761	31658
189	10821	31610
190	10883	31568
191	10932	31486
192	11012	31497
193	11043	31366
194	11110	31337
195	11136	31194
196	11222	31218
197	11311	31250
198	11334	31098
199	11416	31110
200	11482	31077
201	11542	31028
202	11601	30976
203	11659	30920
204	11715	30859
205	11723	30675
206	11797	30661
207	11854	30605
208	11911	30547
209	11926	30385
210	11983	30327
211	12039	30269
212	12087	30190
213	12144	30135
214	12203	30084
215	12280	30075
216	12299	29926
217	12373	29912
218	12383	29744
219	12460	29734
220	12537	29727
221	12563	29597
222	12621	29544
223	12677	29486
224	12740	29443
225	12794	29381
226	12851	29325
227	12866	29176
228	12920	29113
229	12976	29055
230	13031	28996
231	13087	28940
232	13154	28906
233	13212	28852
234	13271	28802
235	13296	28677
236	13350	28615
237	13406	28559
238	13480	28540
239	13561	28535
240	13614	28472
241	13672	28417
242	13732	28369
243	13762	28259
244	13821	28206
245	13880	28155
246	13936	28099
247	13969	27995
248	14029	27946
249	14086	27890
250	14145	27839
251	14204	27788
252	14274	27758
253	14335	27710
254	14394	27660
255	14453	27608
256	14511	27555
257	14570	27503
258	14631	27454
259	14690	27404
260	14765	27382
261	14823	27327
262	14883	27276
263	14942	27224
264	14963	27103
265	15021	27050
266	15081	26999
267	15140	26947
268	15200	26897
269	15261	26848
270	15319	26794
271	15374	26736
272	15429	26676
273	15486	26621
274	15541	26562
275	15596	26502
276	15652	26445
277	15708	26387
278	15769	26339
279	15825	26281
280	15881	26223
281	15937	26167
282	15993	26108
283	16016	25998
284	16076	25948
285	16130	25887
286	16189	25835
287	16244	25776
288	16300	25719
289	16356	25662
290	16410	25603
291	16470	25551
292	16525	25493
293	16582	25438
294	16640	25383
295	16697	25328
296	16753	25270
297	16809	25213
298	16866	25159
299	16923	25102
300	16980	25048
301	17051	25012
302	17108	24956
303	17165	24901
304	17221	24844
305	17275	24784
306	17340	24740
307	17400	24688
308	17459	24635
309	17519	24583
310	17574	24524
311	17631	24469
312	17687	24412
313	17750	24364
314	17838	24351
315	17896	24296
316	17952	24238
317	18005	24177
318	18062	24121
319	18116	24061
320	18190	24027
321	18252	23977
322	18308	23919
323	18363	23861
324	18418	23802
325	18476	23747
326	18531	23689
327	18586	23630
328	18656	23590
329	18719	23540
330	18778	23486
331	18832	23427
332	18889	23371
333	18943	23310
334	18997	23251
335	19052	23192
336	19107	23132
337	19173	23088
338	19230	23030
339	19284	22971
340	19342	22916
341	19396	22856
342	19455	22802
343	19515	22749
344	19571	22692
345	19632	22639
346	19688	22582
347	19743	22523
348	19800	22466
349	19856	22408
350	19916	22356
351	19972	22298
352	20028	22241
353	20084	22183
354	20139	22125
355	20195	22067
356	20252	22010
357	20308	21953
358	20363	21895
359	20419	21837
360	20474	21779
361	20535	21726
362	20590	21668
363	20647	21611
364	20703	21553
365	20758	21495
366	20820	21444
367	20888	21399
368	20947	21345
369	21002	21286
370	21059	21229
371	21117	21174
372	21173	21116
373	21232	21062
374	21288	21004
375	21336	20938
376	21393	20882
377	21451	20826
378	21510	20772
379	21567	20716
380	21622	20657
381	21684	20606
382	21742	20550
383	21798	20492
384	21866	20446
385	21920	20387
386	21976	20330
387	22030	20270
388	22084	20211
389	22138	20152
390	22195	20094
391	22249	20035
392	22305	19978
393	22358	19918
394	22414	19861
395	22469	19802
396	22528	19747
397	22582	19688
398	22637	19630
399	22692	19572
